Frame,FPS,
0,inf,
1,21.2766,
2,13.8889,
3,1000,
4,1000,
5,58.8235,
6,58.8235,
7,58.8235,
8,62.5,
9,55.5556,
10,58.8235,
11,62.5,
12,58.8235,
13,62.5,
14,58.8235,
15,62.5,
16,58.8235,
17,58.8235,
18,62.5,
19,55.5556,
20,62.5,
21,58.8235,
22,62.5,
23,58.8235,
24,62.5,
25,58.8235,
26,58.8235,
27,58.8235,
28,62.5,
29,58.8235,
30,62.5,
31,58.8235,
32,58.8235,
33,58.8235,
34,62.5,
35,58.8235,
36,62.5,
37,58.8235,
38,62.5,
39,58.8235,
40,58.8235,
41,58.8235,
42,62.5,
43,58.8235,
44,58.8235,
45,62.5,
46,58.8235,
47,62.5,
48,58.8235,
49,58.8235,
50,62.5,
51,58.8235,
52,58.8235,
53,62.5,
54,58.8235,
55,58.8235,
56,62.5,
57,58.8235,
58,58.8235,
59,58.8235,
60,62.5,
61,58.8235,
62,62.5,
63,58.8235,
64,58.8235,
65,62.5,
66,58.8235,
67,58.8235,
68,62.5,
69,58.8235,
70,58.8235,
71,62.5,
72,58.8235,
73,58.8235,
74,62.5,
75,58.8235,
76,58.8235,
77,62.5,
78,58.8235,
79,58.8235,
80,62.5,
81,58.8235,
82,58.8235,
83,62.5,
84,55.5556,
85,62.5,
86,62.5,
87,58.8235,
88,58.8235,
89,62.5,
90,58.8235,
91,58.8235,
92,62.5,
93,58.8235,
94,58.8235,
95,62.5,
96,58.8235,
97,58.8235,
98,62.5,
99,58.8235,
100,58.8235,
101,62.5,
102,58.8235,
103,58.8235,
104,62.5,
105,58.8235,
106,58.8235,
107,58.8235,
108,62.5,
109,58.8235,
110,62.5,
111,58.8235,
112,58.8235,
113,62.5,
114,58.8235,
115,58.8235,
116,62.5,
117,58.8235,
118,58.8235,
119,62.5,
120,58.8235,
121,58.8235,
122,62.5,
123,58.8235,
124,58.8235,
125,62.5,
126,58.8235,
127,58.8235,
128,58.8235,
129,62.5,
130,58.8235,
131,62.5,
132,58.8235,
133,58.8235,
134,62.5,
135,58.8235,
136,58.8235,
137,62.5,
138,58.8235,
139,58.8235,
140,62.5,
141,58.8235,
142,58.8235,
143,62.5,
144,58.8235,
145,58.8235,
146,62.5,
147,58.8235,
148,58.8235,
149,62.5,
150,58.8235,
151,58.8235,
152,62.5,
153,58.8235,
154,58.8235,
155,62.5,
156,40,
157,111.111,
158,62.5,
159,58.8235,
160,58.8235,
161,62.5,
162,58.8235,
163,58.8235,
164,62.5,
165,58.8235,
166,58.8235,
167,62.5,
168,58.8235,
169,58.8235,
170,62.5,
171,58.8235,
172,58.8235,
173,62.5,
174,58.8235,
175,58.8235,
176,62.5,
177,58.8235,
178,58.8235,
179,62.5,
180,58.8235,
181,58.8235,
182,62.5,
183,58.8235,
184,58.8235,
185,62.5,
186,58.8235,
187,58.8235,
188,62.5,
189,58.8235,
190,58.8235,
191,62.5,
192,58.8235,
193,58.8235,
194,62.5,
195,58.8235,
196,58.8235,
197,62.5,
198,58.8235,
199,58.8235,
200,62.5,
201,58.8235,
202,58.8235,
203,62.5,
204,58.8235,
205,58.8235,
206,62.5,
207,58.8235,
208,58.8235,
209,62.5,
210,58.8235,
211,58.8235,
212,62.5,
213,58.8235,
214,58.8235,
215,62.5,
216,58.8235,
217,58.8235,
218,62.5,
219,58.8235,
220,58.8235,
221,62.5,
222,58.8235,
223,58.8235,
224,62.5,
225,58.8235,
226,58.8235,
227,62.5,
228,58.8235,
229,58.8235,
230,62.5,
231,58.8235,
232,58.8235,
233,62.5,
234,58.8235,
235,58.8235,
236,62.5,
237,58.8235,
238,58.8235,
239,62.5,
240,58.8235,
241,58.8235,
242,62.5,
243,58.8235,
244,58.8235,
245,62.5,
246,58.8235,
247,58.8235,
248,62.5,
249,58.8235,
250,58.8235,
251,58.8235,
252,62.5,
253,58.8235,
254,62.5,
255,58.8235,
256,58.8235,
257,62.5,
258,58.8235,
259,58.8235,
260,62.5,
261,58.8235,
262,58.8235,
263,62.5,
264,58.8235,
265,58.8235,
266,62.5,
267,58.8235,
268,58.8235,
269,62.5,
270,58.8235,
271,58.8235,
272,62.5,
273,58.8235,
274,58.8235,
275,62.5,
276,58.8235,
277,58.8235,
278,62.5,
279,58.8235,
280,58.8235,
281,62.5,
282,58.8235,
283,58.8235,
284,62.5,
285,58.8235,
286,58.8235,
287,58.8235,
288,62.5,
289,58.8235,
290,62.5,
291,58.8235,
292,58.8235,
293,62.5,
294,58.8235,
295,58.8235,
296,58.8235,
297,62.5,
298,58.8235,
299,62.5,
300,58.8235,
301,58.8235,
302,62.5,
303,58.8235,
304,58.8235,
305,62.5,
306,58.8235,
307,58.8235,
308,62.5,
309,58.8235,
310,58.8235,
311,62.5,
312,58.8235,
313,58.8235,
314,62.5,
315,58.8235,
316,58.8235,
317,62.5,
318,58.8235,
319,58.8235,
320,62.5,
321,58.8235,
322,58.8235,
323,62.5,
324,58.8235,
325,58.8235,
326,62.5,
327,58.8235,
328,58.8235,
329,62.5,
330,58.8235,
331,58.8235,
332,62.5,
333,58.8235,
334,58.8235,
335,62.5,
336,58.8235,
337,58.8235,
338,62.5,
339,58.8235,
340,58.8235,
341,62.5,
342,58.8235,
343,58.8235,
344,58.8235,
345,62.5,
346,58.8235,
